位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
南京·鼓楼区·挹江门,江苏启润科技有限公司,智能硬件,本科,3-5年,7-10K,多线程|网络协议|数据结构|Socket技术|网络编程|Android|GIT|SVN,Java后端开发
北京·大兴区·亦庄,中科软,计算机软件,本科,经验不限,8-13K,Java|全栈工程师|CSS|架构师|HTML|后端工程师|Python|SQL,Java后端开发
成都·双流区·城南优品道广场,工物科云,互联网,本科,3-5年,10-15K,Java|分布式技术|后端开发|大数据|云计算,java后端开发
成都·武侯区·新会展中心,望尘科技,游戏,本科,5-10年,24-30K·16薪,Java|游戏开发|Spring|游戏,后端主程序
上海·黄浦区·董家渡,云简业财,互联网,本科,经验不限,8-16K,Java,后端Java工程师
西安·新城区·金花路,米安贝,互联网,学历不限,经验不限,7-9K,后端工程师|Java,java后端开发
杭州·余杭区·五常,阿里巴巴集团,互联网,本科,1-3年,12-13K,Java|后端开发|Spring,Java后端开发
合肥·庐阳区·四里河,红狐科技,计算机软件,大专,3-5年,8-13K,Nginx|MyBatis|Redis|Java|MySQL|Spring,Java后端开发
抚州,老表互联,互联网,大专,3-5年,6-11K,HTML|服务器配置|Spring|Hibernate|Struts|Oracle|MySQL|后端开发,APP后端开发
哈尔滨·南岗区·新春,哈尔滨四福科技,计算机软件,本科,3-5年,7-12K,Java|MySQL|Spring,java后端开发
成都·武侯区·孵化园,黑板报,广告/公关/会展,大专,经验不限,4-6K·13薪,分布式技术|MVC开发|Spring|MySQL|Redis|Oracle|后端开发,Java后端开发
杭州·余杭区·仓前,墨创智慧,移动互联网,本科,5-10年,13-20K,后端开发|Java|JS,后端工程师
武汉·武昌区·徐东大街,保诚信,移动互联网,本科,3-5年,10-15K,PHP|Shell|Linux|GIT|NoSQL|MySQL|Memcached,后端工程师
苏州·苏州工业园区·独墅湖,驭数,大数据,大专,1-3年,5-7K,SQL|Python|数据结构|Spring|GIT|全栈开发|大数据|人工智能,后端工程师
北京·东城区·北新桥,天行远景,移动互联网,本科,1-3年,6-8K,Java|Spring|MyBatis|Redis|不接受居家办公|大数据经验,后端java开发
合肥,优晟,计算机软件,学历不限,3-5年,8-12K,Java开发经验|Java|Spring|后端工程师|计算机/软件工程相关经验,后端研发工程师
广州·黄埔区·科学城,神州智云,互联网,本科,1-3年,9-14K,后端工程师|Java|Spring|Python|计算机/软件工程相关经验|Java开发经验,java后端工程师
南京·江宁区·将军大道,宁贝乐,学术/科研,大专,1-3年,7-8K,Java|PHP|分布式技术|多线程|网络协议|消息队列|网络编程|多进程,后端研发工程师
上海·浦东新区·金桥,华为技术有限公司,计算机软件,本科,3-5年,17-30K,Java|SQL|Spring|MVC开发|服务器配置|MySQL|Redis|Oracle,Java后端工程师
武汉·武昌区·珞珈山,武汉睿瀛,新闻/出版,大专,1-3年,10-20K,Java,JAVA后端工程师
广州·白云区·三元里,云创,计算机软件,大专,3-5年,11-22K,Hibernate|MySQL|后端开发|SpringBoot|SpringCloud|Oracle|J2EE WEB|shiro,Java后端工程师
北京·海淀区·五道口,正和岛,互联网,本科,5-10年,30-40K·15薪,Java|Spring|MySQL|团队管理经验,后端研发负责人
重庆·渝北区·大竹林,重庆斯巴达信息科技,计算机软件,本科,经验不限,3-5K,SQL|SpringBoot|GIT,初级Java后端开发
广州·海珠区·琶洲,布枢科技,企业服务,大专,1-3年,9-14K·13薪,SQL|后端开发|Linux|MySQL|Redis|微服务架构|SpringBoot,Java后端工程师
新乡·红旗区·丰华街,乐知数字,计算机软件,3个月,5天/周,50-100元/天,Spring|MyBatis|JavaScript,后端JAVA/GO实习生
厦门·同安区·后田海鲜船坞,靓家优品,其他行业,本科,1-3年,4-7K,Java|C/C++|JavaScript|计算机/软件工程相关经验|Java开发经验,后端开发技术员
苏州·苏州工业园区·独墅湖,苏州雪鸮网络科技,游戏,大专,3-5年,10-15K,接受居家办公|Java|Spring|MySQL|游戏后端经验|卡牌游戏开发,java游戏后端开发
青岛,青岛海尔文化产业,互联网,6个月,3天/周,100-150元/天,Java|JavaScript|SQL|HTML|CSS|Python|Shell,后端工程师（实习）
长沙·天心区·城南路,蓝雪,计算机软件,本科,3-5年,7-11K,Java|C++,高级后端工程师
杭州·余杭区·仓前,杭州多协,计算机软件,本科,3-5年,12-20K,微服务架构|容器技术|分布式技术|网络协议|消息队列|架构师|后端开发|WEB开发,JAVA/GO后端开发
东莞·凤岗镇·平湖,元宇宙云数据,计算机软件,大专,3-5年,10-15K,分布式技术|消息队列|SpringBoot|SpringCloud|架构师,Java后端工程师
