位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
太原·杏花岭区·北大街,乐推传媒,互联网,大专,1-3年,4-6K,短视频|广告片|广告片|短视频|完整的执行能力|视觉感/审美好|完整的执行能力|网感好|视觉感/审美好|短视频导演|编导|剪辑,信息流编导
乌鲁木齐·新市区·北京路,斯嘉丽,医疗健康,本科,3-5年,8-13K,医药销售|耗材销售|医药学,医学信息专员
唐山·路北区·龙泽路,河北恒勒房地产经纪,房地产中介/租赁,中专/中技,经验不限,5-10K,保障月薪|带薪培训|购房优惠,房屋信息咨询
齐齐哈尔,黑龙江国牛牧业,农/林/牧/渔,大专,3-5年,5-8K,业务数据分析|业务模式/运营策略优化|畜牧|牛,信息主管
重庆·沙坪坝区·陈家桥,博仕冠,批发/零售,高中,经验不限,3-8K,含有销售的客服工作|正常工作制|办公室坐班|全职工作|不接受居家办公,信息文员
昆明·西山区·船房,云南舒淳商贸有限公司,互联网,学历不限,经验不限,3-4K,无经验|不加班|坐班|法定假日|全职,信息确认
淮安·清江浦区·开发区,雨田鸿运,4S店/后市场,大专,1-3年,4-5K,汽车,销售信息助理
赣州·章贡区·黄金高校区,江西修升咨询服务,培训/辅导机构,本科,1-3年,8-13K,教研|线下授课|教师资格证|全职兼职均可|政治|数学|专升本,信息技术老师
上海,万物一口宠物食品,批发/零售,本科,1-3年,7-11K,直播|千川|抖音,抖音信息流推广
衢州,衢州市奔捷行汽车服务,4S店/后市场,中专/中技,1-3年,4-5K,汽车,汽车销售信息员
广州·番禺区·南村,爱恩,电子商务,大专,3-5年,10-15K,短视频|剪辑,信息流广告编导
泰安·泰山区·校场街,沃尔夫文化传媒,医疗服务,大专,1-3年,3-6K,信息流推广,信息流运营
青岛·市北区·海云庵,慧如海,大数据,大专,经验不限,500-2000元/月,兼职|无需坐班|会繁体字|仔细再仔细|有足够耐心|适合社恐,信息著录员
杭州·钱塘区·金桥街,欣贝莱生物,生物/制药,博士,1-3年,30-50K·13薪,Python,生物信息博士
宿州·埇桥区·大学城,乐普电子,计算机服务,中专/中技,经验不限,3-4K,桌面运维|网络运维|系统运维|计算机相关专业|电子/电气/自动化相关专业|运维经验,信息技术专员
广州·天河区·石牌,广州昆仑星链企业服务,咨询,学历不限,经验不限,5-6K,线上客服|正常工作制|办公室坐班|全职工作,信息审核客服
廊坊·三河市·行宫东大街,隆达建工,工程施工,大专,1-3年,4-5K,维护与改进信息,信息管理员
中山·石岐街道·悦来南路,大熊互动,互联网,本科,1-3年,8-13K,短视频|网感好|熟知多个视频平台推荐算法|视觉感/审美好|孵化,信息流编导
佛山·南海区·桂城,佛山卡泰驰御豪汽...,汽车研发/制造,大专,1-3年,8-13K,销售经验|MPV|汽修经验|跑车|轿车|二手车评估师证|二手车评估|二手车销售|二手车回收,汽车收购信息员
呼和浩特·赛罕区·绿地美食广场,普天设计,通信/网络设备,本科,经验不限,6-10K,计算机软件|IT服务|大数据|物联网|技术沟通,信息化项目售前支撑
荆门·掇刀区·漳河新区,掌趣网络科技有限公司,游戏,学历不限,1-3年,10-15K,信息流投手,传奇信息流投手
上海·嘉定区·江桥,点效广告,广告营销,大专,1-3年,15-30K,互联网销售|销售专员|网络销售|广告销售|信息流|电商|千川|抖音,信息流广告销售
陵水黎族自治县,海洋主题乐园度假区,文化艺术/娱乐,9个月,5天/周,80-90元/天,ERP项目实施|财务诊断优化|财务培训,财务信息实习生
珠海·香洲区·唐家湾,川流传媒,广告/公关/会展,大专,在校/应届,6-10K,信息流|广告投手|广告|抖音|快手|视频号|信息流优化师|广告优化师,信息流广告投手
南昌·红谷滩区·红角洲,书中文化,文化艺术/娱乐,大专,3-5年,8-13K,信息流投放|数据分析能力,信息流投放经理
上海·闵行区·浦江,云简业财,互联网,本科,经验不限,8-11K,ERP|SAP|财务相关专业|计算机相关专业|可适应出差|财务咨询|信息系统管理|费控,财务信息咨询顾问
烟台·莱山区·初家,金达威,食品/饮料/烟酒,大专,1-3年,5-10K,信息流投放,抖音信息流投放
深圳·龙岗区·龙岗中心城,蓝海传媒,广告营销,大专,1-3年,8-13K,信息流投放|小说投放经验|短剧投放经验,信息流优化师
