位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
上海·杨浦区·新江湾城,联鹏软件,计算机软件,本科,1-3年,8-13K·13薪,Java|SpringCloud|分布式技术|微服务架构|SpringBoot|Linux|后端开发|软件工程师,Java
海口·美兰区·海府,加银网络,社交网络,学历不限,经验不限,50-100元/天,接受居家办公|Java|Spring|Redis|架构设计经验,Java
成都·武侯区·伊藤,森淼融联,互联网金融,大专,3-5年,10-18K,后端开发|Java|系统架构,Java
成都·武侯区·中和,成都志聚科技有限公司,计算机软件,本科,3-5年,4-8K,Java|Nginx|Spring|MySQL|Oracle|SQL Server,Java
重庆·九龙坡区·巴国城,恒优家,电子商务,学历不限,10年以上,1-2K,SQL,Java
北京·东城区·和平里,北银金科,互联网,本科,3-5年,20-30K·14薪,容器技术|多线程|软件工程师|后端开发,Java
上海·浦东新区·张江,拾象声誉,投资/融资,6个月,3天/周,300-600元/天,全栈开发|SpringMVC|SpringBoot,Java
北京·丰台区·方庄,腾达科技,互联网,大专,5-10年,10-20K,Java|JS|数据库,Java
杭州·西湖区·西溪,滴滴出行,互联网,本科,3-5年,25-35K·15薪,Java,Java
广州·天河区·棠下,强基信息,计算机软件,大专,1-3年,4-6K,Java|MyBatis|Spring|Oracle|MySQL|不接受居家办公|后端工程师|分布式系统开发经验|计算机/软件相关经验,Java
武汉·洪山区·光谷,武汉松蓝云信息技...,计算机软件,大专,3-5年,9-14K,Spring|Redis|MySQL|后端开发|GIT|SVN|多线程|消息队列,Java
上海·浦东新区·临港,中京复电,智能硬件,本科,1-3年,6-10K,Java|数据库,Java
株洲·天元区·工业大学,湖南千金协力药业,医疗健康,本科,经验不限,8-9K·13薪,Java|不接受居家办公|ERP开发经验|架构设计经验|物联网经验,Java
杭州·滨江区·长河,网易有道精品课,在线教育,本科,3-5年,20-30K,Java|分布式技术|负载均衡技术|容器技术|Spring|MySQL|Redis|架构师,Java
淮安,义贤,互联网,大专,5-10年,6-10K,软件工程师|后端开发,Java
北京·石景山区·苹果园,北京博信,计算机软件,大专,1-3年,7-12K·13薪,SpringBoot|Oracle|MySQL|Linux|Windows|软件工程师,java
广州·海珠区·琶洲,阿里巴巴集团,互联网,本科,5-10年,25-50K·15薪,后端工程师|Java|计算机/软件工程相关经验|分布式系统开发经验|985优先,Java
上海,昀捷信息,移动互联网,大专,3-5年,12-16K,JavaScript|MySQL|MongoDB|Java开发经验|分布式系统开发经验,Java
秦皇岛·海港区·开发区,城安盛邦,通信/网络设备,本科,1-3年,8-12K,CSS|SQL|SpringBoot|SpringCloud|Spring|DB2|MySQL|Redis,Java
北京·海淀区·中关村,栎行未来,计算机软件,本科,1年以内,9-14K,SQL|Redis|MySQL|后端开发|中级软件工程师|SpringMVC|Maven|IDEA,Java
杭州·余杭区·五常,科度科技,计算机软件,本科,3-5年,12-13K,Java|JavaScript|HTML|CSS,Java
青岛·崂山区·西韩,青岛海尔科技,计算机软件,本科,5-10年,15-16K,微服务架构|负载均衡技术|架构师|企业级应用开发|SpringBoot|MySQL|Windows,Java
呼和浩特·赛罕区·师大,灵集科技,计算机软件,大专,3-5年,6-10K,C++|Java|不接受居家办公|大数据经验|云计算经验,java
常州·武进区·大学城,常州爱安特,自动化设备,本科,3-5年,10-15K,Java开发经验|Java|不接受居家办公|后端工程师,Java
武汉·汉阳区·沌口,杰士达科技,计算机软件,大专,3-5年,11-20K,Spring|后端开发|SQL|微服务架构|分布式技术|软件工程师|SpringCloud|SpringBoot,java
北京·朝阳区·国贸,鹏源网络,互联网,大专,1-3年,10-15K·13薪,,Java
北京·朝阳区·北沙滩,元码智链科技,计算机软件,本科,1-3年,10-15K,Java|Spring|MySQL|MongoDB|信息化|软件工程师|Web端|分布式技术,Java
北京·朝阳区·三元桥,咫尺科技,电子商务,本科,5-10年,15-16K,Java|Spring|MyBatis|Java开发经验|中大型项目架构设计经验|团队管理经验,Java
杭州·西湖区·转塘,吉利汽车,汽车研发/制造,本科,5-10年,20-40K,供应链|分布式技术|Spring|SSM|SpringCloud,Java
通辽·科尔沁区·火车站,通辽市佳姆信息安...,信息安全,本科,经验不限,4-5K,后端工程师|计算机/软件工程相关经验|大数据处理经验|机器学习工程经验,Java
南宁·江南区·星光大道,广西蚁巢网络科技...,互联网,高中,3-5年,7-12K,Java|MVC开发|服务器配置|微服务架构|网络协议|搜索引擎技术|Spring|Hibernate,Java
北京·朝阳区·来广营,WIFIPIX,大数据,本科,5-10年,20-28K,分布式技术|网络协议|Spring|Dubbo|Netty|SpringBoot|NoSQL|MongoDB,JAVA
郑州·金水区·东风路,轩昂智能化,计算机软件,本科,经验不限,6-11K,Java|MySQL|Oracle,Java
温州,温州中模网络科技,计算机软件,本科,3-5年,8-11K·13薪,后端工程师|Java|Spring|MySQL|Java开发经验|分布式系统开发经验|Java|系统架构|数据库,Java
深圳·龙华区·大浪,天帷科技,学前教育,本科,1-3年,8-12K,不接受居家办公|Java|Spring|SpringCloud|MyBatis|MySQL|Redis,Java
深圳·南山区·海岸城,惟客数据,大数据,大专,5-10年,15-30K·13薪,Java|消息队列|多线程|MySQL|SpringBoot,Java
北京·海淀区·牡丹园,GeneDock,医疗健康,本科,1-3年,15-16K,,Java
武汉·洪山区·关山,武汉极数,广告营销,本科,5-10年,11-18K,Java|Spring|MyBatis|SpringCloud|MySQL|Redis|不接受居家办公,Java
南京·溧水区·永阳,琅霆,其他专业服务,本科,10年以上,12-20K,全栈开发|Python|HTML|CSS|SQL|Shell,Java
重庆·江北区·五里店,美天停车,互联网,本科,3-5年,10-20K,Java,Java
北京·大兴区·亦庄,京东集团,电子商务,本科,3-5年,25-40K·16薪,Java|Spring|MySQL|Redis,Java
合肥·蜀山区·桃花,安徽万链科技有限...,计算机软件,大专,3-5年,8-12K,不接受居家办公|Java|MyBatis|MySQL|Redis|SQL Server|架构设计经验|物联网经验|大数据经验,Java
深圳·南山区·西丽,云鹿智能门,智能硬件,本科,经验不限,15-16K,Java,Java
合肥·肥西县·高新区,阳光电源股份有限公司,新能源,本科,5-10年,15-25K·15薪,Java|SpringCloud|Kafka|Elasticsearch|MySQL|Redis|架构设计经验|微服务经验|大数据经验,Java
无锡,江苏车缘,汽车后市场,本科,5-10年,9-12K,Java开发经验|Java|全栈工程师|大数据处理经验|算法基础|中大型项目架构设计经验|JavaScript|MySQL|数据库开发|车联网|后端开发,Java
杭州·余杭区·仓前,滴滴,移动互联网,本科,3-5年,20-40K,Java|Spring|MyBatis|Dubbo|MySQL|Redis|架构设计经验|分布式经验|物联网经验,Java
南京·浦口区·华侨城,贝卡杉,计算机软件,大专,1-3年,5-10K,服务器配置|Linux|Spring|SpringMVC|初级软件工程师|后端开发|SpringBoot,Java
武汉·洪山区·光谷,中科凯瑞,计算机软件,本科,经验不限,15-16K,全栈开发|WEB开发|后端开发|服务器端开发|客户端开发,Java
黄冈·黄州区·学生街,鑫欢,新零售,学历不限,在校/应届,4-5K,Java,Java
上海·浦东新区·临港,航天壹亘智能科技...,智能硬件,本科,3-5年,15-25K·13薪,后端开发|微服务架构|SpringBoot|MySQL|Redis|全栈开发|Windows|Linux,Java
通化·东昌区·靖宇中学,盛世高科,信息安全,本科,5-10年,10-15K,PHP|SQL|微服务架构|服务器配置|分布式技术|数据结构,Java
深圳·龙岗区·坂田,赛亚通信,计算机软件,本科,3-5年,15-30K,多线程|SQL|CSS|PHP|Shell,Java
呼和浩特·赛罕区·大学东路,赞同科技,互联网,本科,1-3年,6-9K,Java|Spring|SpringCloud|Dubbo|MySQL|Oracle|Redis,Java
