位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
深圳·宝安区·西乡,华宇联,电子/硬件开发,本科,1-3年,8-13K·13薪,嵌入式|C语言|嵌入式技术|单片机开发|嵌入式软件开发|软件工程师|物联网|智能硬件,嵌入式
西安·碑林区·金花路,勤创电气,智能硬件,本科,经验不限,5-10K·15薪,ARM开发|C++|嵌入式软件开发,嵌入式
福州·闽侯县·新上街,浙江承浩科技有限公司,互联网,本科,5-10年,14-20K·13薪,C|C++,嵌入式
宿迁,芯科智能,电子/半导体/集成电路,大专,1-3年,6-8K,计算机相关专业|通信相关专业|嵌入式/单片机开发经验,嵌入式
上海·宝山区·上大,新远仪表厂,仪器仪表/工业自动化,本科,1-3年,8-10K,嵌入式技术|嵌入式硬件开发|嵌入式软件开发,嵌入式
宁波·慈溪市,卓奥股份,电子/半导体/集成电路,本科,1年以内,5-10K,嵌入式|电路设计|单片机,嵌入式
台州,通禾流体控制,仪器仪表/工业自动化,本科,1-3年,8-10K,单片机开发|电路设计|PCB设计|器件选型|嵌入式技术,嵌入式
上海·浦东新区·滴水湖临港地区,江波龙数字技术,电子/半导体/集成电路,本科,3-5年,20-40K,单片机开发|自动化技术|软件工程师|嵌入式技术|驱动开发,嵌入式
广州·天河区·小新塘,广州市高科通信技...,通信/网络设备,本科,3-5年,13-20K,C|嵌入式,嵌入式
东莞·东坑镇·东坑镇中心城区,东莞朗勤电子科技,电子/半导体/集成电路,大专,3-5年,11-18K,单片机|嵌入式|电路设计|嵌入式技术|C++|软件测试|消费电子|机器人,嵌入式
杭州·滨江区·长河,华为,计算机软件,本科,经验不限,12-24K,嵌入式技术|驱动开发|电路设计|射频开发|上海|合肥,嵌入式
深圳·宝安区·石岩,深圳市久津电子科...,智能硬件,本科,1年以内,8-12K·14薪,嵌入式技术|单片机开发|嵌入式软件开发|ARM开发|C语言|FPGA开发|PLC程序设计|仿真调试,嵌入式
西安·雁塔区·科技路西口,英杰伟成,铁路/船舶/航空/航天制造,大专,1-3年,10-15K,硬件开发|嵌入式|电路设计,嵌入式
深圳·宝安区·西乡,高深智能,智能硬件,本科,1年以内,6-10K,嵌入式|单片机|智能硬件,嵌入式
深圳·龙华区·观澜,尚亿源,智能硬件,本科,5-10年,15-25K,单片机|嵌入式|ARM|嵌入式软件开发|EMC设计|芯片设计|C#|C++,嵌入式
北京·海淀区·五道口,清博华创,仪器仪表,本科,经验不限,12-15K·13薪,C++|C|嵌入式硬件开发|C语言|Linux|嵌入式/单片机开发经验|单片机开发|自动化技术|嵌入式软件开发|ARM开发|嵌入式技术,嵌入式
深圳·光明区·田寮,深圳喆能,其他行业,本科,1-3年,7-10K,嵌入式|电路设计|PCB工艺,嵌入式
上海·黄浦区·五里桥,波科,医疗健康,本科,5-10年,12-24K,C语言|驱动开发|MCU,嵌入式
中山,江波龙,半导体/芯片,本科,3-5年,18-30K·13薪,FPGA开发|RTOS|嵌入式软件开发|Android|Linux,嵌入式
上海·徐汇区·漕河泾,慕客信,培训/辅导机构,大专,1-3年,5-10K,嵌入式,嵌入式
深圳·宝安区·福永,明达科研,电子商务,本科,1-3年,6-7K,单片机|电路设计|系统集成,嵌入式
上海·闵行区·莘庄,大金(中国),通用设备,本科,1-3年,11-18K·15薪,嵌入式技术|嵌入式软件开发|C语言|周末双休|加班费,嵌入式
北京·大兴区·亦庄,欧维时代,电子商务,本科,1-3年,8-12K,电路设计|STM32开发|C|嵌入式/单片机开发经验|计算机相关专业|ARM|嵌入式,嵌入式
上海·青浦区·青浦城区,上海创力,专用设备,本科,在校/应届,6-11K,C语言|C++|嵌入式技术|Linux|RT-Thread|UCOS,嵌入式
重庆·渝北区·财富中心,深滦智能,智能硬件,本科,1-3年,6-7K,C++|嵌入式技术|单片机开发|Verilog|Linux|RT-Thread|Keil|Cadence,嵌入式
重庆·渝北区·新牌坊,慈讯信息技术,计算机软件,学历不限,经验不限,70-75元/时,STM32开发|DSP开发|ARM开发,嵌入式
杭州·钱塘区·高沙商业街,悠米科技,医疗器械,本科,5-10年,13-25K,网络协议|单片机开发|嵌入式软件开发|DSP开发|C++|C#|嵌入式技术|Linux,嵌入式
南阳,牧原食品股份有限公司,农/林/牧/渔,本科,1-3年,6-11K,嵌入式技术|单片机开发|通信接口/总线|通信|C语言|嵌入式软件开发|Keil|智能硬件,嵌入式
北京·房山区·长阳,思科德,大数据,本科,1-3年,6-10K,传感器|单片机|嵌入式,嵌入式
哈尔滨·香坊区·永泰城,天有为电子,汽车零部件,本科,经验不限,11-22K,STM32开发|C++|C|通信相关专业|嵌入式/单片机开发经验|计算机相关专业,嵌入式
上海·浦东新区·康桥,上海嘉瑞微电子有...,计算机服务,本科,1-3年,10-15K,嵌入式技术|自动化技术|嵌入式软件开发|驱动开发|C语言|C++|Verilog|Linux,嵌入式
厦门·集美区·杏林,脸谱科技,智能硬件,本科,3-5年,9-14K·13薪,智能硬件|嵌入式技术|物联网|通信|消费电子,嵌入式
兰州·城关区·五泉,兰州金利达,互联网,硕士,3-5年,9-14K,C|C++|ARM开发,嵌入式
深圳·坪山区·坪山,池源科技,计算机软件,本科,1年以内,11-20K,ARM|电路设计|硬件开发,嵌入式
北京·海淀区·四季青,鹰之眼,医疗服务,本科,5-10年,15-25K,嵌入式技术|驱动开发|音视频编解码|系统集成技术,嵌入式
武汉·江夏区·纸坊,华和物联,仪器仪表,本科,1-3年,8-13K·13薪,单片机开发|嵌入式技术|电路设计|PCB设计|Altium Designer|物联网,嵌入式
南京·江宁区·胜太路,中汽创智,汽车零部件,本科,3-5年,15-30K,嵌入式技术|C++|芯片开发|C语言|RTOS|VxWorks|FreeRTOS,嵌入式
西安·雁塔区·高新软件园,云联友科,通信/网络设备,本科,1年以内,15-30K,C++|嵌入式/单片机开发经验,嵌入式
深圳·龙华区·大浪,莫孚康技术,智能硬件,本科,3-5年,18-27K,嵌入式|电机驱动|软件开发,嵌入式
沈阳·沈河区·长青,沈阳金山,智能硬件,本科,5-10年,4-8K,ARM|电路设计|硬件开发,嵌入式
杭州·西湖区·黄龙,杭州优鹭,智能硬件,本科,1-3年,7-11K,嵌入式技术|PCB工艺|电路设计|电气工程师|自动化技术|驱动开发|Keil|嵌入式硬件开发,嵌入式
烟台·福山区·万达商圈,汉码智能,计算机软件,学历不限,经验不限,6-10K,人工智能|网络协议|Socket技术|嵌入式技术|系统集成技术|嵌入式软件开发|ARM开发|Linux,嵌入式
上海·松江区·中山,上海门萨,汽车零部件,本科,3-5年,12-15K,嵌入式技术|单片机开发|嵌入式软件开发|Layout设计|C语言|车载领域|器件选型,嵌入式
深圳·宝安区·松岗,普天永高,智能硬件,大专,3-5年,8-12K,嵌入式,嵌入式
深圳·福田区·华强南,大容大创新,电子商务,大专,1-3年,10-15K,嵌入式技术|流媒体技术|Socket技术|网络协议|嵌入式软件开发,嵌入式
深圳·宝安区·西乡,星临奇境,电子/半导体/集成电路,本科,1-3年,8-13K,C|计算机相关专业|电气电气/自动化相关专业|嵌入式/单片机开发经验|投影|电视|显示,嵌入式
深圳·龙华区·民治,喆华电子,电子/半导体/集成电路,本科,1-3年,10-11K,嵌入式|ARM|单片机,嵌入式
深圳·南山区·西丽,骇凯特来自英文HICAT,智能硬件,本科,经验不限,7-10K,嵌入式|电路设计|ARM,嵌入式
上海·虹口区·虹口足球场,上海像我信息科技...,计算机软件,本科,经验不限,7-12K·13薪,嵌入式技术|C++|Linux|流媒体技术|音视频编解码|射频开发|无线通信|智能硬件,嵌入式
北京·海淀区·上地,QuEST Global,计算机软件,本科,5-10年,20-35K,驱动开发|嵌入式技术|嵌入式软件开发|Linux|Android|RTOS|FreeRTOS|UCOS,嵌入式
东莞,鸿瑞科技,其他制造业,本科,3-5年,8-12K,嵌入式技术|自动化技术|单片机开发|电路设计|C语言|C++|电气工程师|机器人,嵌入式
深圳·宝安区·石岩,憨包民爆云领,电子/半导体/集成电路,本科,1-3年,6-8K,嵌入式技术,嵌入式
哈尔滨·香坊区·乐松广场,威星动力,新能源,本科,1-3年,4-6K,硬件|嵌入式技术|硬件工程师,嵌入式
杭州·滨江区·长河,聚光,仪器仪表/工业自动化,本科,经验不限,11-18K·14薪,嵌入式技术|单片机开发|嵌入式软件开发|C语言|Linux|UCOS|C++,嵌入式
泉州,环宇通,通信/网络设备,本科,3-5年,8-13K·13薪,嵌入式技术|网络协议|sip,嵌入式
北京·海淀区·学院路,中星微AI芯片,电子/半导体/集成电路,本科,经验不限,15-30K,驱动开发|Linux|DSP开发|BSP开发|嵌入式技术|C语言,嵌入式
深圳·南山区·科技园,深圳安规,仪器仪表/工业自动化,本科,经验不限,11-22K,嵌入式技术,嵌入式
上海,简识,电子/半导体/集成电路,大专,经验不限,7-12K·13薪,嵌入式技术|嵌入式软件开发|无线开发|射频开发|物联网|C语言|蓝牙协议开发|通信,嵌入式
