位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
长沙·雨花区·云塘理工,千视电子,互联网,本科,1年以内,4-6K,小语种|熟悉信用证知识|贸易/物流专业|西班牙语,外贸助理
长沙,威胜集团,仪器仪表/工业自动化,本科,1-3年,13-20K·15薪,西班牙语|俄语|国内工作+国外出差|掌握小语种|有外贸工作经验|英语可用于工作|德语,销售经理（面向国际业务）
长沙·岳麓区·梅溪湖,遨森电商,电子商务,本科,在校/应届,6-10K·13薪,平台品类运营|B2C|数据分析能力|小语种|居家日用|母婴玩具|运动户外|德语|西班牙语|法语,跨境电商运营助理(J10237)
长沙·岳麓区·桐梓坡,犇强电子,进出口贸易,大专,1-3年,5-8K,西班牙语|亚马逊|不接受居家办公|日语|小语种|电子商务专业|要求跨境电商运营经验|跨境店铺运营|B2C|电商店铺运营|德语|英语可作为工作语言|Amazon,亚马逊北美站运营
长沙·岳麓区·麓谷,通拓科技,电子商务,本科,经验不限,4-8K,数码3C|家居日用|美妆日化|家用电器|店铺运营|FBA|精品|精铺,亚马逊销售（双休 五险一金）(J15238)
长沙·岳麓区·望城坡,深圳市浩文安通,通信/网络设备,本科,在校/应届,4-9K,企业/机构（To B）|沟通能力|英语听说读写,应届海外客户经理
长沙·岳麓区·麓谷,公狼网络跨境电商,电子商务,本科,经验不限,5-10K,跨境电商运营|eBay运营|速卖通运营|亚马逊运营|wish运营|shopee运营|Listing优化|FBA库存管理|B2C跨境电商|德语|跨境电商,亚马逊运营
长沙·岳麓区·含浦,比扬医疗,医疗健康,本科,1-3年,5-10K·13薪,小语种|有海外销售经验|熟悉Amazon平台|熟悉阿里巴巴平台,外贸业务经理
长沙·长沙县·泉塘,远大集团,其他行业,本科,经验不限,9-14K,机械设备|房地产|留学生优先|英美留学生|澳加留学生|欧洲留学生,海外留学生（国际业务）
长沙·长沙县·榔梨镇,湖南昌能仪表,仪器仪表,大专,1-3年,6-8K,外贸开发,外贸业务跟单
长沙·望城区·雷锋镇,中联重科,通用设备,本科,经验不限,8-12K·13薪,线下教育|境外员工培训|外语可做工作语言,海外培训教务专员
长沙·天心区·省政府,长沙威飒,旅游/景区,本科,经验不限,5-6K,申根签,签证专员
长沙·长沙县·星城国际,三一集团,其他行业,本科,经验不限,20-40K,培训与开发|招聘与配置|薪酬福利,海外大区（高级）人力资源经理
长沙·岳麓区·麓谷,万兴科技,计算机软件,本科,3-5年,18-25K,商务洽谈能力|商务合作拓展|互联网/科技,版权商务经理 (MJ002559)
长沙·开福区·四方坪,启富机械,进出口贸易,大专,1-3年,5-9K·13薪,年终奖|国际贸易专业|有外贸工作经验|每周双休|建筑材料|熟悉跨境平台操作,外贸专员
长沙·开福区·青竹湖,智添,培训/辅导机构,本科,1-3年,8-11K,全职|坐班,高中俄语老师
长沙·芙蓉区·韭菜园,yealink,通信/网络设备,本科,1-3年,12-24K·14薪,代理商/经销商招募|渠道/机构客户开发|代理商体系搭建|企业服务|软件/SaaS|硬件/网络设备|具有渠道运营管理经验|较强的沟通协调能力|较强的渠道拓展能力,海外销售（英/美/德/法)
