位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
珠海·香洲区·唐家湾,软通动力,计算机软件,大专,1-3年,15-30K,前端开发|Vue,前端
杭州·余杭区·未来科技城,阿里巴巴集团,互联网,本科,3-5年,30-50K,前端开发|Node.js|JavaScript|HTML|CSS|Vue|React|Web端,前端
成都·武侯区·石羊场,云起老和,计算机软件,本科,1-3年,9-12K,JavaScript|HTML5|CSS|Uniapp,前端
成都·武侯区·中和,汇腾亿晟,大数据,大专,3-5年,15-20K·13薪,JavaScript|HTML5|Vue,高级前端开发工程师(vue)
哈尔滨·道外区·南直路,哈尔滨东鹏科技,游戏,学历不限,经验不限,3-4K,HTML,前端
长春·南关区·净月开发区,金恒股份,咨询,本科,1-3年,5-10K,JavaScript,前端
宁波·鄞州区·南部商务区,夏天信息科技,移动互联网,大专,3-5年,10-15K,Vue,前端
商洛·柞水县·乾佑街北段,柞水县乾佑山城通讯,通信/网络设备,大专,3-5年,60-65元/时,React|Vue|Node.js,前端
成都·成华区·龙潭,华云乾库,大数据,大专,3-5年,4-9K,HTML|移动端,前端
西安·长安区·韦曲,优浮智创,互联网,大专,3-5年,5-10K,前端开发|JavaScript|HTML|CSS|Vue|React,前端
太原·小店区·平阳,搜图科技,计算机软件,本科,3-5年,5-7K,Web端|前端开发,前端
太原,华德天一,学校/学历教育,学历不限,1年以内,3-5K,HTML|CSS|Vue,前端
菏泽·曹县·银座,单页网络,互联网,大专,1-3年,4-8K,HTML|前端开发|JavaScript|CSS|Vue|小程序|移动端|Web端,前端
北京·东城区·建国门内,善易影视,广播/影视,本科,3-5年,12-20K,前端开发|HTML|CSS|JavaScript|ES6|移动端|云计算|支付,前端
合肥·蜀山区·高新区,合肥天帷,信息安全,本科,1-3年,8-13K·13薪,JavaScript|HTML5|CSS|前端开发经验|计算机/软件工程相关专业|不接受居家办公,前端
成都·双流区·成都高新区,智行亿乐,计算机软件,本科,1-3年,8-10K,前端开发经验,前端
常州·武进区·马杭镇,常州若为软件有限公司,互联网,学历不限,3-5年,8-10K,HTML5|JS|CSS|Web端|PC端,前端
龙岩·新罗区·交易城,大零海蝶有限公司,互联网,本科,1-3年,4-6K,CSS|Vue|Webpack,高级前端开发工程师(vue)
上海·浦东新区·金桥,上海超捷,计算机软件,大专,3-5年,11-18K,前端开发|CSS|CSS3|HTML5|Vue|移动端,Web前端开发工程师(VUE为主)
安阳·文峰区·文峰万达广场,彩海跨境电子商务,电子商务,大专,1-3年,5-10K,Web端|Vue|Visual Studio|WEB开发|JavaScript|HTML5|ES6|TypeScript,前端vue软件开发工程师
运城·盐湖区·黄金水岸,易标智软件,计算机软件,本科,3-5年,5-6K,JavaScript|HTML5|Vue|计算机/软件工程相关专业|前端开发经验|不接受居家办公|熟悉his系统,高级前端开发工程师(vue)
北京·海淀区·马连洼,赢时胜,计算机软件,本科,3-5年,12-16K,React,前端
深圳·南山区·西丽,谊海科技,移动互联网,大专,3-5年,10-15K,前端开发|HTML|CSS|JavaScript|Web端|移动端,前端
深圳·坪山区·坪山,比亚迪汽车工业,汽车研发/制造,本科,5-10年,15-30K,HTML5|Java|Vue,前端
桂林,优贡科技,计算机软件,学历不限,经验不限,10-11K,前端开发|Node.js|后端开发|JavaScript|HTML|CSS|Java|PHP,前端
金华·婺城区·西关,浙江微政科技有限公司,计算机软件,学历不限,1-3年,6-8K,前端开发|Web端|小程序|Android,前端
惠州·惠城区·河南岸,惠州玖点供应链信...,互联网,本科,3-5年,8-13K,HTML5|React|Vue|计算机/软件工程相关专业|前端开发经验,前端
九江,神州信息,计算机软件,本科,1-3年,5-8K,vue|css|h5|jsp,前端
安康·汉滨区·高新区,陕西浩太无限软件开发,计算机软件,本科,1-3年,3-8K,React|Vue|Node.js|前端开发经验|不接受居家办公,前端
广州·越秀区·东风东,般诺智能,计算机软件,大专,3-5年,10-15K,Vue|Node.js|HTML5|计算机/软件工程相关专业|前端开发经验,前端
杭州·西湖区·西溪,启强科技,互联网,本科,3-5年,12-14K,Vue,前端
深圳·南山区·西丽,深圳猿承科技有限公司,计算机软件,本科,1-3年,9-12K,小程序|Vue|Web端|CSS|JavaScript|HTML5|PC端,前端
邯郸·丛台区·中华北,成都琥玥,互联网,大专,1-3年,6-11K,Webpack|移动端|小程序|Vue|React|后端开发|前端开发|JavaScript,前端
哈尔滨·南岗区·果戈里,公众,互联网,大专,3-5年,8-10K,Vue|CSS|不接受居家办公,前端
肇庆·端州区·敏捷城,柏曦科技,计算机软件,大专,1年以内,6-11K,vue.js,前端
北京·昌平区·北七家,中国农业网,电子商务,大专,1-3年,7-9K,DIV+CSS|html|css3,前端
佛山·禅城区·祖庙,雷兰科技公司,计算机软件,学历不限,经验不限,1-3K,HTML5|Vue|Node.js|接受居家办公,前端
莆田·城厢区·万达广场,智康云医疗科技公司,互联网,大专,1-3年,4-8K·13薪,Vue|前端开发|CSS|JavaScript|HTML5|Bootstrap|HTML|PC端,前端
上海·浦东新区·张江,上海舟恩信息,计算机软件,大专,5-10年,12-15K,Vue|CSS|JavaScript|不接受居家办公|客服/视频 微服务|React.js/Vue.js|Gulp/Webpack/Rollup,前端
北京·朝阳区·望京,兴财信息,计算机软件,本科,3-5年,15-25K,前端开发|Vue|小程序,前端
深圳·宝安区·翻身,合众汇金,企业服务,本科,1-3年,4-7K,JavaScript|HTML|CSS|Web端|移动端|小程序|PC端|IOS,前端
北京·海淀区·双榆树,亿利和,移动互联网,大专,3-5年,16-20K,Vue|React|前端开发经验|GIS|openlayers|cesium,前端
深圳·南山区·海岸城,蚂蚁集团,互联网,本科,经验不限,20-30K·13薪,JavaScript|HTML|CSS|CSS3|HTML5|ES6|MVC开发|网络协议,前端
衡水·桃城区·人民西路,创新科技,互联网,本科,1-3年,3-5K,前端开发|Web端|PhotoShop|PHP|Flash开发|JavaScript,前端
南京·江宁区·开发区,国网电科院,电力/热力/燃气/水利,本科,5-10年,15-20K,前端开发经验,前端
昆明·盘龙区·金江小区,乐吧科技,互联网,大专,3-5年,5-10K,JavaScript|HTML|CSS|Web端|小程序|前端开发|WEB开发|Vue,前端
保定·容城县·雄安新区,领航动力,互联网,本科,1-3年,11-16K,Vue,前端
深圳·南山区·海上世界,真成,电子商务,大专,经验不限,6-11K,前端开发|Node.js|全栈开发|JavaScript|HTML|Web端|小程序|PC端,前端
杭州·余杭区·五常,阿里巴巴集团,互联网,本科,在校/应届,15-30K·16薪,不接受居家办公|CSS|JavaScript|HTML5|前端开发经验|计算机/软件工程相关专业,前端
常州·天宁区·青龙邻里中心,GUOE,计算机软件,本科,1-3年,12-16K,Vue|ECharts|计算机/软件工程相关专业,前端开发工程师(双休 VUE)
北京·朝阳区·朝外,峥嵘时代科技,移动互联网,本科,3-5年,13-18K,React|JavaScript|CSS3|React.JS|前端开发,高级前端VUE开发工程师
深圳·龙华区·观澜,深圳七乐微联信息技术,计算机服务,大专,3-5年,12-24K·13薪,HTML5|CSS|React|vue|es6,前端
贵阳·观山湖区·会展城,贵州享库电子商务,电子商务,大专,1-3年,3-5K,JavaScript|Java,前端
无锡·滨湖区·蠡湖,欧维姆,互联网,大专,1-3年,10-15K,前端开发|Flash开发|HTML|CSS|JavaScript|CSS3|HTML5|Less,前端
扬州·广陵区·城东,海金科技,互联网,本科,3-5年,10-15K,HTML5|Vue|React|计算机/软件工程相关专业|前端开发经验|技术博客/开源项目有所贡献,前端
武汉·洪山区·关山,喻信中智,计算机软件,本科,5-10年,8-13K,前端开发经验|Webpack,前端
杭州·余杭区·良渚,深圳太乙科技,电子商务,本科,3-5年,15-25K,Vue|HBuilder,Vue uniapp前端开发工程师（ 兼职）
杭州·余杭区·五常,阿里巴巴集团,互联网,本科,在校/应届,10-15K,react|javascript,前端
柳州·城中区·阳光100,哇咔科技,互联网,本科,1-3年,5-8K,CSS|HTML,前端
广州·番禺区·新造,先进数通,计算机软件,本科,5-10年,12-15K·13薪,Vue|前端开发经验|计算机/软件工程相关专业,vue前端开发工程师（内研）
雅安·雨城区·沙湾,古玥优聚,互联网,大专,3-5年,15-30K,Web端|移动端,web前端
西安·碑林区·南二环东段,凯思源,计算机软件,学历不限,1-3年,5-7K,小程序|Web端|Vue,前端开发
北京·朝阳区·团结湖,信德立,社交网络,本科,1-3年,6-10K,vue.js|node.js|javascrpt,web前端
深圳·宝安区·西乡,国瑞发展教育有限公司,企业服务,本科,3-5年,8-10K·14薪,前端开发|HTML|Vue|Bootstrap|Web端|物联网|JavaScript|CSS,web前端
淄博·张店区·中润大道,万洲嘉智信息科技...,计算机软件,大专,1-3年,6-8K,前端开发|Web端,web前端
杭州·萧山区·北干,微医集团,互联网,本科,1-3年,15-25K,react|vue.js|javascript,web前端
邯郸,即速应用科技有限公司,互联网,学历不限,1-3年,4-7K,前端开发|小程序|HTML|PC端|Web端,前端开发
海口·美兰区·机场周边,海南博一智慧科技...,电子商务,本科,在校/应届,5-8K,前端开发|JavaScript|HTML|CSS|Vue|React|JQuery|Web端,web前端
西安·雁塔区·高新软件园,华为云计算,计算机服务,本科,3-5年,18-35K·16薪,JavaScript|CSS|Angular,web前端
南昌·青山湖区·京东,江西子楚科技有限公司,计算机软件,本科,经验不限,4-8K,前端开发|移动端|JavaScript|HTML5|Vue|HTML|小程序|计算机/软件工程相关专业|CSS3,Java前端
运城·永济市·蒲园,中普盛联,计算机软件,大专,5-10年,7-10K,JavaScript|HTML5|Vue,web前端
长春·朝阳区·前进大街,吉大通信,通信/网络设备,本科,1-3年,8-13K·13薪,CSS|JavaScript|HTML|前端开发|小程序|Vue.js,前端开发
海口·琼山区·龙昆南路,智海联(海南),互联网,大专,3-5年,6-8K,HTML5|Vue|前端开发经验|微信小程序|Sass,前端开发
杭州·余杭区·良渚,优嘉智能,计算机软件,本科,1-3年,6-11K,前端开发|java,web前端
深圳·龙华区·民治,苍凌,游戏,本科,1-3年,9-14K,不接受居家办公|CSS|微信小程序开发|HTML5|计算机/软件工程相关专业|前端开发经验,前端开发
南宁·青秀区·南湖,深圳市盛世闻茗文...,互联网,大专,3-5年,7-10K,HTML|javascript,web前端
