位置,公司名,公司行业,学历要求,经验要求,薪资,技能要求,职位
北京·海淀区·中关村,英华创维,计算机服务,本科,3-5年,15-30K·14薪,Python|数据结构|Socket技术,C++
北京·海淀区·西北旺,百度,互联网,本科,1-3年,18-28K·15薪,微服务架构|分布式技术|网络编程|Unix|Linux|架构师|服务器端开发|工程架构,C++
深圳·宝安区·新安,云盛科技,智能硬件,本科,经验不限,7-12K·14薪,音视频开发|嵌入式技术|音视频编解码|Windows|软件工程师|计算机软件|大数据|人工智能,C++
大连·沙河口区·西安路,铧亚软件开发,计算机软件,本科,1-3年,6-10K,网络协议,C++
上海·徐汇区·徐家汇,上海开策,房地产开发经营,本科,3-5年,30-60K·14薪,C++|Linux开发/部署经验|Linux|汽车,C++
福州,行久农业,物流/仓储,本科,3-5年,5-6K,网络编程|服务器配置|软件工程师|兼职,C++
杭州·滨江区·长河,杭州华为企业通信技术,计算机硬件,本科,1-3年,13-26K,C++|C语言|计算机相关专业|Linux开发/部署经验,C++
上海·虹口区·临平路,春腾网络,企业服务,本科,3-5年,15-25K,C++|C|MySQL|STL,c++
深圳·龙岗区·平湖,卓炜视讯,电子商务,本科,3-5年,17-20K,C语言|音视频相关开发经验|Linux开发/部署经验|流媒体技术|服务器端开发|软件工程师|Windows|后端开发|客户端开发,C++
深圳·南山区·科技园,腾讯,互联网,本科,1-3年,15-30K,数据库|PHP|Linux,C++
北京·朝阳区·望京,高德地图,互联网,本科,3-5年,20-40K,Linux|后端开发|C/C++,C++
临沂·兰山区·北城新区,临沂市兵圣信息技...,培训/辅导机构,本科,1-3年,7-12K,C++,c++
北京·西城区·西单,亦复广告,广告营销,本科,1-3年,15-16K,Python|数据结构|分布式技术,C++
石家庄·新华区·大郭,春策商贸,进出口贸易,高中,在校/应届,12-13K,企业软件|前端开发|后端开发,C++
长沙·岳麓区·观沙岭,竟网科技,计算机软件,本科,3-5年,15-20K·13薪,C++|计算机相关专业,c++
深圳·宝安区·新安,翌日科技,通信/网络设备,本科,1-3年,12-20K,C++|音视频经验|Linux开发/部署经验,C++
长沙·岳麓区·望城坡,尚兴科技,移动互联网,本科,3-5年,9-14K,C++|OpenGL,c++
西安·雁塔区·科技二路,西安集灵,计算机软件,硕士,3-5年,15-30K,C++|C语言|Java|C++服务端开发经验|OpenGL,C++
天津·红桥区·邵公庄,艾迪普,计算机软件,本科,1-3年,8-12K·14薪,数据库|图像算法|C/C++|Qt,C++
烟台·福山区·永旺梦乐城,画外空间,计算机软件,本科,1-3年,10-15K,C++|计算机软件|C#|PC端|后端开发|软件工程师|视觉图像算法,C++
绍兴·柯桥区·鉴湖景园,酷玩,培训/辅导机构,本科,3-5年,4-8K,C#|C++,c++
杭州·滨江区·浦沿,NOKIA,通信/网络设备,6个月,3天/周,120-160元/天,Linux,C++
合肥·蜀山区·经开区,鹏武智能,计算机软件,本科,1-3年,12-20K,网络协议|QT|VC++|软件工程师|高级软件工程师|中级软件工程师|初级软件工程师|Visual Stu,C++
深圳·南山区·科技园,发阳科技,计算机软件,本科,3-5年,15-20K,C++|C语言|Java|C++服务端开发经验|Qt项目开发经验|Linux开发/部署经验,C++
武汉·江汉区·汉西,佳方科技,电子商务,本科,3-5年,15-16K,多进程|消息队列|微服务架构|网络编程|数据结构,C++
宁波·镇海区·庄市,环视信息,分类信息,本科,1-3年,10-11K,C/C++|图像算法|图像识别,C++
安康·石泉县·向阳路,南北,培训/辅导机构,本科,1-3年,15-16K,架构师|Go,C++
北京·朝阳区·双井,山东玄石,人力资源服务,本科,3-5年,40-45K,VC++,C++
杭州·西湖区·西溪,华途信息,信息安全,本科,经验不限,7-11K,C++|C语言|计算机相关专业|C++服务端开发经验|大数据项目开发经验|信息安全|网络安全|加密,c++
北京·海淀区·颐和园,普德诚,计算机软件,本科,1-3年,7-8K,嵌入式技术|数据结构,C++
徐州·泉山区·彭城广场,天琥教育,在线教育,本科,3-5年,5-10K,C++服务端开发经验|C++|算法基础|MySQL|Oracle|数据结构|Python,C++
北京·朝阳区·慈云寺,天津明恒星科技,电子商务,本科,1-3年,15-16K,C++|C语言,C++
上海,上海联影,医疗器械,硕士,3-5年,20-35K·14薪,C/C++|后端开发,C++
北京·海淀区·西北旺,滴滴,移动互联网,本科,1-3年,20-40K·15薪,Go|分布式技术|后端开发|高级软件工程师|中级软件工程师,C++
杭州·滨江区·长河,大华系统工程,计算机服务,本科,经验不限,15-25K,C/C++,C++
北京·海淀区·西三旗,快手,社交网络与媒体,本科,经验不限,15-16K,C++|Redis|架构设计经验|分布式经验|微服务经验|多线程|分布式技术|微服务架构|消息队列|多进程|网络编程|Python,C++
成都·郫都区·高新西,莱威盛世,智能硬件,本科,1-3年,19-25K,音视频开发|图形图像处理|算法基础|网络编程,C++
